Рейтинг регионов по количеству объявлений о продаже,Изменение рейтинга регионов по количеству объявлений о продаже,Регион,Активных объявлений о продаже,"Активных объявлений, вторичка","Активных объявлений, новостройки","Средняя стоимость м², вторичка","Средняя стоимость м², новостройки","Средний срок экспозиции, вторичка, дней",Рейтинг регионов по количеству заявок на кредит,Изменение рейтинга регионов по количеству заявок на кредит,Минимальное количество одобренных заявок,Доля онлайн-заявок,Доля заявок в офисе банка,"Доля заявок, новостройки","Доля заявок, вторичка","Средний срок одобрения, мин",Рейтинг по количеству ипотечных сделок,Изменение рейтинга по количеству ипотечных сделок,Минимальное количество ипотечных сделок,"Доля сделок, новостройки","Доля сделок, вторичка",Доля сделок с риелтором,"Средний срок сделки, новостройки, дней","Средний срок сделки, вторичка"
72,0,Республика Тыва,3454,1334,314,125728,137808,64.0416666666667,71,-3,500,50%,50%,8%,66%,1,70,-8,100,18%,71%,78%,29.875,41.9166666666667
73,0,Республика Дагестан,2638,1971,,86680,,29.7916666666667,43,6,1000,40%,60%,3%,72%,1,69,-4,100,7%,88%,81%,22.2083333333333,38.875
74,0,Мурманская Область,2349,2076,,78125,,73.875,63,-1,1000,58%,42%,5%,87%,1,57,0,100,10%,85%,79%,8.54166666666667,34.7083333333333
75,1,Республика Калмыкия,1722,843,48,67857,,53.2916666666667,66,-1,1000,16%,84%,13%,73%,1,77,-1,100,13%,81%,70%,32.75,46.1666666666667
76,2,Чеченская Республика,1553,1138,,71429,,61.8333333333333,49,1,1000,74%,26%,1%,49%,1,19,0,1000,1%,99%,93%,16.0416666666667,24.9166666666667
77,0,Камчатский Край,1520,948,,127586,,64.7083333333333,77,-2,500,49%,51%,9%,78%,1,75,0,100,19%,77%,85%,20.375,36.9166666666667
78,-3,Карачаево-Черкесская Республика,1453,806,,86652,,39.7083333333333,67,0,500,30%,70%,5%,75%,1,74,-8,100,5%,88%,83%,19.9583333333333,42.375
79,0,Еврейская Автономная область,799,299,,71528,,69.875,80,0,1,54%,46%,0%,100%,1,80,0,10,7%,88%,63%,19.625,38.25
81,-1,Республика Ингушетия,684,329,,46763,,25.4166666666667,84,-2,,,,,,,84,-2,,,,,,
82,-1,Магаданская Область,481,391,,113060,,60.9583333333333,78,0,100,67%,33%,9%,83%,1,78,-1,100,7%,91%,43%,9.25,37.0833333333333
84,-2,Чукотский Автономный округ,87,78,,110500,,77.9583333333333,86,-3,,,,,,,86,-3,,,,,,
86,-3,Ненецкий Автономный округ,64,48,,85092,,86.5,82,-1,,,,,,,82,-1,,,,,,
